Sample	nreads	median_genes	median_umi	File	Kit	Individual	Replicate	Sensitivity
Parse_v3_F1A	15683	1491	2589	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	0	0	0	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	7842	1046	1585	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	10455	1227	1966	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	13068	1371	2297	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	5227	809	1141	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	26681.3123	1784	3422	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	20914	1677	3080	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1A	23529	1750	3288	B2-PA-F1A	Parse_v3	F1	A	NA
Parse_v3_F1B	2412	456	572	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	0	0	0	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	21719	1664	3032	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	4825	761	1045	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	16893	1510	2630	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	19308	1594	2841	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	965	210	242	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	12063	1299	2119	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	14477	1414	2391	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	7238	986	1462	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	9655	1159	1812	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F1B	24005.3834	1676	3094.5	B2-PA-F1B	Parse_v3	F1	B	NA
Parse_v3_F5A	8983	1219	1977	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	22008.3883	1751	3367	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	2246	486	624	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	4492	805	1147	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	11229	1362	2308	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	898	225	264	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	20217	1735	3299	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	13474	1480	2599	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	6737	1039	1591	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	0	0	0	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	15723	1579	2859	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5A	17967	1663	3090	B2-PA-F5A	Parse_v3	F5	A	NA
Parse_v3_F5B	1099	248	291	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	2747	532	691	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	21980	1779	3428	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	10990	1314	2189	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	13736	1463	2559	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	5494	875	1271	B2-PA-F5B	Parse_v3	F5	B	NA
Parse_v3_F5B	8243	1123	1767	B2-PA-F5B	Parse_v3	F5	B	NA
